Company,Sector,Stage,Amount($),HeadQuater,What it does,year,Founded,HeadQuarter,Founders,Investor,What_it_does,column10,Company_Brand
&ME,"Food and Beverage, Food Processing, Nutrition",Seed,,"Bangalore, Karnataka, India",Food and Beverage startup focussing on developing products using ayurveda with modern science for women empowerment and fitness.,2018,,,,,,,
Enakshi,Fashion,Seed,120000.0,"Ahmedabad, Gujarat, India",Enakshi is an online apparel brand for women.,2018,,,,,,,
Ultraviolette Automotive,"Automotive, Electric Vehicle, Energy Storage",Series A,900.0,"Bangalore, Karnataka, India",Ultraviolette is a startup working on electric two-wheelers and energy infrastructure.,2018,,,,,,,
Inthree Access,"Consulting, Retail, Social",Series A,4000000.0,"Chennai, Tamil Nadu, India",Inthree Access is an impact venture that connects the most inaccessible rural markets with products that can transform lives in Rural India.,2018,,,,,,,
BUGWORKS Research India,"Biotechnology, Life Science, Pharmaceutical, Product Research",Series A,9000000.0,"Bangalore, Karnataka, India",BUGWORKS is a drug discovery company.,2018,,,,,,,
Guardian.in,Health Care,Seed,,"Mumbai, Maharashtra, India",GNC is a leading global specialty retailer of health and wellness products that takes pride to be the world's largest company,2018,,,,,,,
PrestLoans,"Credit, Financial Services, FinTech, Personal Finance",Seed,100000.0,"New Delhi, Delhi, India","PrestLoans New age tech driven RBI regd NBFC helping businesses by providing easy, quick n hassle free loans.",2018,,,,,,,
Wimoxez,Internet,Seed,20000.0,"Hyderabad, Andhra Pradesh, India","Data Intelligence Publishing Platform, We bring the best resources to learn valuable technologies which will shape tomorrow.",2018,,,,,,,
India Accelerator,"Communities, Coworking, Incubators",Angel,,"Gurgaon, Haryana, India",India Accelerator runs mentorship-driven incubation and acceleration programs for start ups.,2018,,,,,,,
HappyEMI,"Consumer, Financial Services, FinTech",Seed,1000000.0,"Bangalore, Karnataka, India",HappyEMI is a point of sale digital lending platform that helps consumers finance their purchases in-store and online,2018,,,,,,,
Wishup,"Consumer Applications, Information Services, Location Based Services, Virtual Assistant",Seed,,"Azadpur, Delhi, India",Premium Personal Assistance service,2018,,,,,,,
Hansel.io,"Mobile, Mobile Apps, Personalization, Test and Measurement, Web Apps",Series A,4000000.0,"Bangalore, Karnataka, India","Hansel, a mobile app management platform, provides the infrastructure that companies need, in order to personalize product experiences.",2018,,,,,,,
Propelld,"Education, Financial Services, FinTech",Seed,250000.0,"Bengaluru, Karnataka, India",Propelld is a student education financing platform.,2018,,,,,,,
PivotRoots,"Advertising, Consulting, Digital Marketing",Series A,,"Mumbai, Maharashtra, India",Digital Marketing powered by Data & Technology; fueled by Design thinking,2018,,,,,,,
ZiffyHomes,"Marketplace, Real Estate, Rental Property",Seed,120000.0,"New Delhi, Delhi, India",ZiffyHomes is a technology driven marketplace to find out home on rent.,2018,,,,,,,
Carmesi,Health Care,Seed,510000.0,"Gurgaon, Haryana, India",Carmesi is a brand of high-end menstrual-hygiene products in India.,2018,,,,,,,
OckyPocky,"E-Learning, Internet, Video Games",Angel,,"Haryana, Haryana, India",OckyPocky is a interactive and personalised language learning app for preschool kids.,2018,,,,,,,
Racetrack,"Artificial Intelligence, Cloud Computing, Video",Seed,5130000.0,"Bangalore, Karnataka, India","Racetrack is a sales and support-focused AI-driven platform designed for education, real estate, and e-commerce sectors.",2018,,,,,,,
WHR,"Health Care, Information Technology",Seed,143145.0,"Pune, Maharashtra, India","WHR is to make affordable healthcare a reality for all. Our vision is to make healthcare services easier, better and more accessible.",2018,,,,,,,
Asteria Aerospace,Aerospace,Seed,,"Bangalore, Karnataka, India",Asteria Aerospace is a robotics and artificial intelligence company.,2018,,,,,,,
FabAlley,"E-Commerce, Fashion, Lifestyle",Series B,9000000.0,"Noida, Uttar Pradesh, India","FabAlley is the ultimate Indian fashion destination for fashion-forward, indie-chic girls. Founded in 2012, Tanvi Malik and Shivani Poddar",2018,,,,,,,
Tranzmeo,"Artificial Intelligence, Business Intelligence, Industrial Automation, Machine Learning",Pre-Seed,,"Cochin, Kerala, India",Tranzmeo Connect : is A Complete Comprehensive Anomaly forensic Solution with Actionable Insights.,2018,,,,,,,
SBI Life,Insurance,Private Equity,742000000.0,"Mumbai, Maharashtra, India",SBI Life is one of the life insurance company that offers a range of life insurance plans and policies to protect you and your family.,2018,,,,,,,
Studds Accessories,E-Commerce,Private Equity,15000000.0,"Faridabad, Haryana, India",Studds Accessories is a scooter accessories service provider in India,2018,,,,,,,
Design Cafe,"Home Decor, Home Improvement, Home Renovation, Home Services, Interior Design, Smart Home",Series B,30000000.0,"Bengaluru, Karnataka, India","Design + Execution Organization that delivers beautiful & innovative designs for Home Interiors, in any budget.",2018,,,,,,,
NoPaperForms Solutions Pvt. Ltd.,"EdTech, Education, Information Services, SaaS",Series B,3980000.0,"New Delhi, Delhi, India","NoPaperForms is a marketing automation, lead nurture and enrolment management platform for educational institutions",2018,,,,,,,
Rays Power Infra,"Energy, Solar",Venture - Series Unknown,30000000.0,"Jaipur, Rajasthan, India",Rays Power Infra is a leading integrated Solar Power Company.,2018,,,,,,,
AuthMetrik,"B2B, Biometrics, Cyber Security, Fraud Detection, SaaS, Security",Grant,10000.0,"Gurgaon, Haryana, India","SaaS, B2B, Security, Stop account sharing, Fraud Detection",2018,,,,,,,
Khidki,"Artificial Intelligence, Social",Seed,,"Bangalore, Karnataka, India",Vernacular Social Network Focused on Town Level Content and Interactions,2018,,,,,,,
LetsTransport,"Logistics, Transportation, Travel",Series B,15000000.0,"Bangalore, Karnataka, India",Lets transport is a logistics solution provider.,2018,,,,,,,
Next Digital Solutions,"Digital Marketing, SEM, SEO, Web Development",Angel,1500.0,"Kota, Rajasthan, India",Next Digital Solutions is website design & Digital Marketing development company.,2018,,,,,,,
Portea Medical,"Health Care, Hospital, Medical",Debt Financing,3750000.0,"Bangalore, Karnataka, India",Portea Medical is the largest and fastest growing provider of in-home medical care in India today with a 24-city network.,2018,,,,,,,
Aavas Financiers,"Finance, Financial Services",Post-IPO Debt,30000000.0,"Jaipur, Rajasthan, India","Aavas Financiers is engaged in the business of providing housing loans, primarily in the un-served, unreached and under-served market.",2018,,,,,,,
Swiggy,"Food Delivery, Food Processing, Internet",Series H,1000000000.0,"Bangalore, Karnataka, India",Swiggy is a food ordering and delivery company that provides food service solutions for restaurants.,2018,,,,,,,
Milkbasket,"E-Commerce, Food and Beverage, Internet",Series A,7000000.0,"Haryana, Haryana, India","Milkbasket delivers milk, bread, eggs, butter, juices and other daily need items, every morning, right at your doorstep, free of charge.",2018,,,,,,,
Nutrisattva (Proliva),"Fitness, Food and Beverage, Health Care, Nutrition",Angel,,"Anand, Gujarat, India",Nutrisattva is a protein innovation compan,2018,,,,,,,
Toppr,"EdTech, Education, Knowledge Management",Series C,35000000.0,"Mumbai, Maharashtra, India",Toppr.com is an online preparation platform for entrance exams in India.,2018,,,,,,,
Jagaran Microfin,—,Debt Financing,8250000.0,"Kolkata, West Bengal, India",Jagaran Microfin is a Microfinance institution which achieves a healthy amalgamation of social and financial,2018,,,,,,,
Vivriti Capital,Financial Services,Venture - Series Unknown,28500000.0,"Chennai, Tamil Nadu, India",Vivriti Capital is an online platform for institutional debt in India.,2018,,,,,,,
Be U Salons,"Apps, Beauty, Consumer, Retail",Seed,450000.0,"New Delhi, Delhi, India",Be U is India's first subscription based Salon Chain.,2018,,,,,,,
Impact Guru,"Creative Agency, Crowdfunding, EdTech, Health Care, Internet, Medical, Non Profit, Personal Health",Series A,2000000.0,"Mumbai, Maharashtra, India","We're a Harvard incubated crowdfunding platform for nonprofits, social enterprises, startups and individuals.",2018,,,,,,,
MobiKwik,"Consumer Lending, Financial Services, FinTech, Insurance, Lending, Mobile Payments, Payments, Wealth Management",Series E,3600000.0,"Gurgaon, Haryana, India",MobiKwik is a payments backed fintech platform in India. MobiKwik App offers instant loans & investment products to the 500M masses of India,2018,,,,,,,
Stones2Milestones,"E-Learning, Education, Higher Education",Seed,,"Gurgaon, Haryana, India",Stones2milestones is a Gurgaon Based Learning Company.,2018,,,,,,,
Generico,"Health Care, Medical, Pharmaceutical",Series A,,"Mumbai, Maharashtra, India",Generico is the fastest growing specialized pharmacy retail chain of Generic medicines.,2018,,,,,,,
Adiuvo Diagnostics,Health Diagnostics,Seed,,"Chennai, Tamil Nadu, India",Adiuvo Diagnostics is a medical diagnostic device company based in India.,2018,,,,,,,
DataTrained,"EdTech, Education",Seed,1800000.0,"Bangalore, Karnataka, India","DataTrained is a educational platform, which operates an ed-tech startup on data science",2018,,,,,,,
OneAssist,"Financial Services, SaaS, Security",Debt Financing,2400000.0,"Mumbai, Maharashtra, India",OneAssist is a protection & assistance services platform.,2018,,,,,,,
Satin Creditcare Network Limited (SCNL),"Banking, Finance, Financial Services, Non Profit",Post-IPO Debt,30000000.0,"New Delhi, Delhi, India",Satin is a non-banking finance company providing individual loans to urban shopkeepers.,2018,,,,,,,
APAC Financial Services,"Finance, Financial Services",Private Equity,37500000.0,"Mumbai, Maharashtra, India",APAC Financial Services is a financial services platform.,2018,,,,,,,
Moglix,"B2B, E-Commerce, Mobile",Series C,23000000.0,"Noida, Uttar Pradesh, India","Moglix is a supplier of industrial tools like hand tools, power tools, electrical, and safety equipment.",2018,,,,,,,
SEDEMAC Mechatronics,"Automotive, Electric Vehicle, Renewable Energy",Venture - Series Unknown,,"Mumbai, Maharashtra, India",SEDEMAC Mechatronics is technology company that distributes control-intensive products for automobiles.,2018,,,,,,,
MadGuy Labs,E-Learning,Venture - Series Unknown,150000.0,"Hyderabad, Andhra Pradesh, India",MadGuy Labs is a Online Test-prep Platform.,2018,,,,,,,
Dee Dee Labs,"Embedded Systems, Health Care, Medical, Product Research",Seed,,"Pune, Maharashtra, India",Dee Dee Labs is design and development lab with a primary focus on the development of next generation of bionic prostheses.,2018,,,,,,,
FLEECA,—,Seed,,"Jaipur, Rajasthan, India",FLEECA is a Tyre Care Provider company.,2018,,,,,,,
Shop101,"Apps, E-Commerce, Internet",Series B,11000000.0,"Mumbai, Maharashtra, India",#1 Online Selling App. India’s leading social commerce platform. Setup free online store in 2 min. Sell own goods or resell Shop101 Supply.,2018,,,,,,,
FeedMyPockets,"Advertising, Human Resources, Marketing",Seed,660000.0,"Bangalore City, Karnataka, India",On Demand Staffing Platform,2018,,,,,,,
Housejoy,"Beauty, Fitness, Home Services, Internet",Series B,3240000.0,"Bengaluru, Karnataka, India",Housejoy is a web-based platform that allows individuals to browse and book service providers for their homes.,2018,,,,,,,
Ambee,"Health Care, Medical Device, Public Safety",Angel,,"Bangalore, Karnataka, India",Ambee is an Environment analytics startup.,2018,,,,,,,
FoodBuddy,"Food Delivery, Online Portals, Restaurants",Seed,900000.0,"Belgaum, Karnataka, India","FoodBuddy is a online food delivery portal, providing boundary breaking delivery.",2018,,,,,,,
Ninjacart,"AgTech, B2B, Supply Chain Management",Series B,37500000.0,"Bengaluru, Karnataka, India",Ninjacart is a B2B agri-marketing platform that connects vegetables and fruits farmers directly with businesses.,2018,,,,,,,
Olly Smart Credit Card,"Credit Cards, Finance, Mobile Apps, Mobile Payments, Payments",Seed,,"New Delhi, Delhi, India",Olly is a digital credit card for India's working masses and young people.,2018,,,,,,,
Zestl,Software,Seed,,"Pune, Maharashtra, India","No-Code Workflow Automation. Build enterprise applications in days with AI, Cognitive Automation, Collaboration and more built in.",2018,,,,,,,
BYJU’S,"EdTech, Education, Higher Education, Secondary Education",Private Equity,540000000.0,"Bangalore, Karnataka, India",BYJU’s is an edtech company that is reinventing how students learn through its learning app.,2018,,,,,,,
Wakefit,"Manufacturing, Retail",Venture - Series Unknown,9750000.0,"Bangalore, Karnataka, India",Wakefitkart is a mattress manufacturing company. We manufacture the best quality mattresses at affordable prices.,2018,,,,,,,
Hero Electric,Manufacturing,Venture - Series Unknown,24000000.0,"New Delhi, Delhi, India","Hero Electric, a 100% subsidiary of the Hero Group, is a pioneer in the Indian Electric Vehicle Industry.",2018,,,,,,,
Pentation Analytics,"Information Services, Information Technology, InsurTech",Seed,,"Mumbai, Maharashtra, India",Pentation as an Insurtech enables insurers and intermediaries with our Insurance Analytics Suite- an Insurance specific AI/ML Software Suite,2018,,,,,,,
PerkFinance,"Consumer Lending, FinTech",Seed,900000.0,"Bangalore, Karnataka, India",PerkFinance partners with employers to provide affordable loans to their employees at no cost to the company,2018,,,,,,,
Roposo,"Internet, Social Network, TV",Series C,10000000.0,"Gurgaon, Haryana, India",Roposo - TV by the People is a unique social media platform where people express visually with homemade videos and photos.,2018,,,,,,,
Plum Goodness,"Beauty, Health Care",Series A,,"Thane, Maharashtra, India",Plum Haircare Is Silicone-Free & Sulphate-Free. Designed For Damaged & Dandruff-Free Hair,2018,,,,,,,
Drstore,Hospital,Seed,,"Mumbai, Maharashtra, India",Drstore is a exclusive e- commerce platform.,2018,,,,,,,
Wow Venue,Events,Venture - Series Unknown,1500000.0,"Mumbai, Maharashtra, India",Wow Venue is an online platform.,2018,,,,,,,
Chizel,"3D Printing, Manufacturing, Product Design",Seed,,"Pune, Maharashtra, India",Chizel is a worlds most advanced cloud platform for on-demand manufacturing in 3D Printing and CNC Machining,2018,,,,,,,
OTO Capital,Automotive,Seed,750000.0,"Mumbai, Maharashtra, India",OTO Capital is a platform that allows you to own a car faster than ever.,2018,,,,,,,
Boodmo,"Automotive, Retail",Seed,1050000.0,"Gurgaon, Haryana, India",boodmo.com - large online marketplace for auto parts in India.,2018,,,,,,,
Khabri,"Apps, Audio",Seed,,"Haryana, Haryana, India",Khabri is a digital audio platform for content in vernacular.,2018,,,,,,,
MyNewCar.in,"Automotive, E-Commerce",Venture - Series Unknown,1000000.0,"Gurgaon, Haryana, India",MyNewCar.in offers new cars at best price with great deals. Book a new car online or request a doorstep test drive,2018,,,,,,,
HalaPlay Technologies,"Digital Entertainment, Fantasy Sports, Sports",Series A,5000000.0,"Bangalore, Karnataka, India",A daily fantasy sports platform.,2018,,,,,,,
PlanetSpark,"E-Learning, EdTech, Education",Seed,240000.0,"Gurgaon, Haryana, India",PlanetSpark is an after-school Maths and English learning program for pre teen kids between Grades 2nd to 7th.,2018,,,,,,,
WheelsEMI,—,Series B,14000000.0,"Pune, Maharashtra, India","WheelsEMI is the brand name of NBFC, WheelsEMI Pvt. Ltd.",2018,,,,,,,
Forum for Innovation Incubation Research and Entrepreneurship,"Funding Platform, Incubators, Non Profit",Grant,1537500.0,"Margão, Goa, India","FiiRE, a technology business incubator helps the startup process to move from the garage to the lab.",2018,,,,,,,
OYO,"Hospitality, Hotel, Leisure, Travel",Series E,100000000.0,"Gurgaon, Haryana, India",OYO is an Indian hospitality startup that operates a network of budget hotels.,2018,,,,,,,
Quikr,"Classifieds, Internet, Marketplace, Rental Property",Debt Financing,8250000.0,"Bangalore, Karnataka, India","Quikr is a free classifieds and online marketplace that helps users sell, buy, rent, or discover anything across India.",2018,,,,,,,
Tabono,Sports,Seed,,"Gurgaon, Haryana, India",Tabono is a one stop environment for all your fitness solution.,2018,,,,,,,
LearnApp,"Banking, E-Learning, Trading Platform",Seed,300000.0,"Noida, Uttar Pradesh, India","Learnapp.co - Video courses & live classes in investing, trading, banking and finance.",2018,,,,,,,
